Language Code	Glottocode	Display Name	Endonym	Medium	Biggest Script	Ethnologue Vitality 2013	Ethnologue Vitality 2025	Eth Digital Support	Adjusted Populaiton	Population	Parent Language	Parent Glottocode	Recommendation	Recommendation Reason
ero	horp1239	Horpa				Vigorous	3 Endangered	Emerging	0	45,000		horp1240	Yes	
mbo	mboc1235	Mbo (Cameroon)			Latn	Threatened	3 Endangered	Emerging	0	45,000		mane1268	Yes	
mgg	mpon1254	Mpumpong			Latn	Vigorous	2 Stable	Ascending	0	45,000		mpoi1234	Yes	
nla	ngom1271	Ngombale			Latn	Developing	2 Stable	Ascending	0	45,000		west2958	Yes	
ngz	ngun1272	Ngungwel			Latn	Vigorous	2 Stable	Still	0	45,000		ngun1278	Yes	
nuv	nort2784	Northern Nuni			Latn	Vigorous	2 Stable	Emerging	0	45,000		nuni1253	Yes	
rir	ribu1241	Ribun	bahasa Ribun		Latn	Vigorous	2 Stable	Still	0	45,000		sout2922	Yes	
scg	sang1339	Sanggau	bahasa Sanggau		Latn	Vigorous	3 Endangered	Still	0	45,000		sout2922	Yes	
kew	west2599	West Kewa			Latn	Developing	2 Stable	Emerging	0	45,000		kewa1250	Yes	
cld	chal1275	Chaldean Neo-Aramaic	ܟܠܕܝܐ				3 Endangered	Ascending	0	44,965	syr	nort3241	Yes, with caveat	Not always distinguished
mhu	diga1241	Digaro-Mishmi			Latn	Vigorous	2 Stable	Emerging	0	44,950		mish1241	Yes	
bif	biaf1240	Biafada			Latn	Vigorous	3 Endangered	Still	0	44,900		jaad1234	Yes	
lgm	lega1250	Lega-Mwenga			Latn	Vigorous	2 Stable	Emerging	0	44,900		lega1253	Yes	
apt	apat1240	Apatani			Latn	Threatened	3 Endangered	Emerging	0	44,815		west2797	Yes	
bmi	bagi1246	Bagirmi			Latn	Wider Communication	1 Institutional	Emerging	0	44,800		bagi1248	Yes	
mua	mund1325	Mundang	MUNDAŊ		Latn	Developing	2 Stable	Ascending	0	44,700		mund1324	Yes	
buc	bush1250	Bushi			Latn	Threatened	3 Endangered	Emerging	0	44,620		nort3196	Yes	
kub	kute1248	Kutep			Latn	Developing	2 Stable	Ascending	0	44,600		juku1257	Yes	
mxj	miju1243	Miju-Mishmi			Latn	Vigorous	2 Stable	Emerging	0	44,596		gema1234	Yes	
ker	kera1255	Kera			Latn	Developing	2 Stable	Ascending	0	44,500		east2641	Yes	
arg	arag1245	Aragonese	aragonés	Mostly Spoken (but also written)	Latn	Threatened	3 Endangered	Vital	0	44,439		unsh1234	Yes	
cnb	chin1478	Chinbon Chin			Latn	Vigorous	2 Stable	Emerging	0	44,400		choi1241	Yes	
kib	koal1240	Koalib			Latn	Educational	2 Stable	Ascending	0	44,300		cent2049	Yes	
abt	ambu1247	Ambulas			Latn	Developing	2 Stable	Emerging	0	44,000		ambu1246	Yes	
law	lauj1238	Lauje	bahasa Lauje		Latn	Threatened	3 Endangered	Still	0	44,000		nort2897	Yes	
res	resh1242	Reshe			Latn	Vigorous	2 Stable	Emerging	0	44,000		kain1276	Yes	
kle	kulu1253	Kulung (Nepal)			Deva	Threatened	3 Endangered	Emerging	0	43,952		kulu1252	Yes	
lum	luim1238	Luimbi			Latn	Vigorous	2 Stable	Still	0	43,900		mbwe1239	Yes	
nmc	ngam1269	Ngam			Latn	Developing	2 Stable	Emerging	0	43,700		sido1234	Yes	
kdq	koch1250	Koch			Beng	Vigorous	2 Stable	Emerging	0	43,693		koch1249	Yes	
koq	kota1274	Kota (Gabon)			Latn	Vigorous	2 Stable	Emerging	0	43,460		kota1281	Yes	
she	shek1245	Sheko			Latn	Educational	1 Institutional	Ascending	0	43,320		dizo1235	Yes	
