Language Code	Glottocode	Display Name	Endonym	Medium	Biggest Script	Ethnologue Vitality 2013	Ethnologue Vitality 2025	Eth Digital Support	Adjusted Populaiton	Population	Parent Language	Parent Glottocode	Recommendation	Recommendation Reason
bao	waim1255	Waimaha			Latn	Developing	2 Stable	Emerging	0	21		bara1401	Yes	
bjf	barz1241	Aramaic			Syrc	Nearly Extinct	3 Endangered	Emerging	0	20		nort3242	Yes	
bia	badi1246	Badimaya			Latn	Nearly Extinct	3 Endangered	Still	0	20		kart1250	Yes	
bdy	midd1357	Bandjalang			Latn	Shifting	3 Endangered	Emerging	0	20		inla1268	Yes	
brg	baur1253	Baure			Latn	Moribund	3 Endangered	Emerging	0	20		boli1260	Yes	
bym	bidy1243	Bidyara			Latn	Extinct	4 Extinct	Still	0	20		bidy1245	Yes, with caveat	Some sources report this as extinct, some as active
bvh	bure1242	Bure			Latn	Moribund	3 Endangered	Still	0	20		unun9876	Yes	
cup	cupe1243	Cupeño	Kuupangaxwichem		Latn	Dormant	3 Endangered	Still	0	20		cahu1263	Yes, with caveat	Some sources report this as extinct, some as active
gds	ghan1245	Ghandruk Sign Language			Zxxx	Nearly Extinct	3 Endangered	Still	0	20		deaf1237	Yes	
gih	cond1242	Githabul			Latn	Nearly Extinct	3 Endangered	Emerging	0	20		inla1268	Yes	
gae	guar1293	Guarequena			Latn	Moribund	3 Endangered	Still	0	20		pare1275	Yes	
kkp	gugu1254	Gugubera			Latn	Threatened	3 Endangered	Still	0	20		dhaw1234	Yes	
xkw	kemb1250	Kembra	bahasa Kembra		Latn	Nearly Extinct	3 Endangered	Still	0	20		lepk1239	Yes	
xmh	kuku1283	Kuku-Muminh			Latn	Moribund	3 Endangered	Still	0	20		pama1253	Yes	
lec	leco1242	Leco			Latn	Moribund	3 Endangered	Still	0	20			Yes	
mqr	mand1443	Mander	bahasa Mander		Latn	Nearly Extinct	3 Endangered	Emerging	0	20		tora1268	Yes	
mem	mang1383	Mangala			Latn	Nearly Extinct	3 Endangered	Still	0	20		marr1265	Yes, with caveat	Some sources report this as extinct, some as active
zmj	mari1421	Maridjabin			Latn	Nearly Extinct	3 Endangered	Still	0	20		mari1420	Yes	
zmy	mari1423	Mariyedi			Latn	Nearly Extinct	3 Endangered	Still	0	20		mari1420	Yes	
nvh	nasa1240	Nasarian			Latn	Nearly Extinct	3 Endangered	Still	0	20		sout3240	Yes	
oda	odut1238	Odut			Latn	Nearly Extinct	3 Endangered	Still	0	20		book1242	Yes	
pbg	para1316	Paraujano			Latn	Nearly Extinct	3 Endangered	Emerging	0	20		guaj1257	Yes, with caveat	Some sources report this as extinct, some as active
sje	pite1240	Pite Sami	bidumsámegiella		Latn	Nearly Extinct	3 Endangered	Emerging	0	20	smi	lule1256	Yes	
sww	sowa1244	Sowa			Latn	Nearly Extinct	3 Endangered	Still	0	20		seke1242	Yes, with caveat	Some sources report this as extinct, some as active
spo	spok1245	Spokane			Latn	Nearly Extinct	3 Endangered	Still	0	20		kali1307	Yes	
par	pana1305	Timbisha			Latn	Moribund	3 Endangered	Emerging	0	20		cent2130	Yes	
sju	umes1235	Ume Sami	ubmejesámiengiälla		Latn	Nearly Extinct	3 Endangered	Emerging	0	20	smi	sout3150	Yes	
csd	chia1237	Chiangmai Sign Language			Zxxx	Shifting	3 Endangered	Still	0	19		oldc1250	Yes	
wlg	kunb1251	Kunbarlang			Latn	Nearly Extinct	3 Endangered	Still	0	19		gunw1250	Yes	
lby	lamu1254	Lamu-Lamu			Latn	Nearly Extinct	4 Extinct	Still	0	19		coas1321	No	Extinct language
hbo	anci1244	Ancient Hebrew	עִבְרִית מִקְרָאִית		Hebr	Dormant	4 Extinct	Emerging	0	18		hebr1246	Probably not	Historical langauge
nrk	ngar1296	Ngarla			Latn		3 Endangered	Still	0	18		nort3178	Yes	
col	colu1241	Columbia-Wenatchi			Latn	Moribund	3 Endangered	Still	0	17		sout1559	Yes	
lzl	litz1237	Litzlitz			Latn	Nearly Extinct	3 Endangered	Still	0	17		cent2316	Yes	
zml	madn1237	Madngele			Latn	Nearly Extinct	4 Extinct	Still	0	17		east2374	No	Extinct language
pcp	paca1246	Pacahuara			Latn	Moribund	3 Endangered	Still	0	17		boli1261	Yes	
sri	siri1274	Siriano	Sʉraya		Latn	Threatened	3 Endangered	Emerging	0	17		siri1280	Yes	
egy	egyp1246	Egyptian (Ancient)	𓂋𓏤𓈖𓆎𓅓𓏏𓊖		Egyp				0	16		egyp1245	Probably not	Historical langauge
pop	pwap1237	Pwapwâ			Latn	Nearly Extinct	3 Endangered	Still	0	16		nmip1235	Yes	
aob	abom1238	Abom			Latn	Nearly Extinct	3 Endangered	Still	0	15		tiri1259	Yes	
akr	arak1252	Araki			Latn	Nearly Extinct	3 Endangered	Emerging	0	15		arak1257	Yes	
atw	atsu1245	Atsugewi			Latn	Dormant	3 Endangered	Still	0	15		pala1350	Yes	
boy	bodo1272	Bodo (Central African Republic)			Latn	Nearly Extinct	3 Endangered	Ascending	0	15		unun9928	Yes	
ing	dege1248	Degexit'an			Latn	Moribund	3 Endangered	Emerging	0	15		koyu1238	Yes	
grq	goro1261	Gorovu			Latn	Nearly Extinct	3 Endangered	Still	0	15		agoa1234	Yes	
kkb	kwer1264	Kwerisa	bahasa Kwerisa		Latn	Nearly Extinct	3 Endangered	Still	0	15		dout1239	Yes	
mpc	mang1381	Mangarayi			Latn	Moribund	3 Endangered	Still	0	15		mang1423	Yes	
kgt	somy1238	Somyev			Latn	Nearly Extinct	3 Endangered	Still	0	15		vuti1235	Yes	
ays	sors1239	Sorsogon Ayta			Latn	Nearly Extinct	3 Endangered	Still	0	15		aust1312	Yes	
tnz	tong1308	Tonga (Thailand)				Threatened	2 Stable	Still	0	15		mani1291	Yes	
tuu	tutu1242	Tututni			Latn	Extinct	3 Endangered	Emerging	0	15		rogu1236	Yes, with caveat	Some sources report this as extinct, some as active
twa	twan1247	Twana			Latn	Dormant	3 Endangered	Still	0	15		cent2129	Yes, with caveat	Some sources report this as extinct, some as active
tau	uppe1437	Upper Tanana			Latn	Shifting	3 Endangered	Emerging	0	15		uppe1472	Yes	
avv	avac1239	Avá-Canoeiro			Latn	Nearly Extinct	3 Endangered	Still	0	14		guaj1258	Yes	
rxd	ngar1288	Ngardi			Latn	Nearly Extinct	4 Extinct	Still	0	14		west3005	Yes, with caveat	Some sources report this as extinct, some as active
rgr	resi1247	Resígaro			Latn	Nearly Extinct	3 Endangered	Still	0	14		yucu1252	Yes	
sec	sech1246	Sechelt	Shashishalhem		Latn	Moribund	3 Endangered	Emerging	0	14		nort3421	Yes	
kuy	kuuk1238	Kuuku-Ya'u			Latn	Nearly Extinct	3 Endangered	Still	0	13		nort2759	Yes	
jbo	lojb1234	Lojban	la .lojban.	Spoken & Written	Latn				0	13		arti1236	Possibly	Constructed language
alh	alaw1244	Alawa			Latn	Nearly Extinct	3 Endangered	Still	0	12		mara1414	Yes	
arx	arua1261	Aruá (Rodonia State)			Latn	Moribund	3 Endangered	Still	0	12		gavi1248	Yes	
csm	cent2140	Central Sierra Miwok			Latn	Nearly Extinct	3 Endangered	Still	0	12		sier1249	Yes	
kcb	kawa1276	Kawacha			Latn	Nearly Extinct	3 Endangered	Still	0	12		nort3145	Yes	
mcg	mapo1246	Mapoyo			Latn	Nearly Extinct	3 Endangered	Still	0	12		mapo1245	Yes	
mrs	mara1399	Maragus			Latn	Nearly Extinct	3 Endangered	Still	0	12		nort3261	Yes	
mep	miri1266	Miriwung			Latn	Moribund	3 Endangered	Emerging	0	12		miri1274	Yes	
ung	ngar1284	Ngarinyin			Latn	Shifting	3 Endangered	Still	0	12		worr1236	Yes	
opy	ofay1240	Ofayé			Latn	Moribund	3 Endangered	Still	0	12		nucl1710	Yes	
bow	rema1238	Rema			Latn	Nearly Extinct	3 Endangered	Still	0	12		tond1250	Yes, with caveat	Some sources report this as extinct, some as active
rey	reye1240	Reyesano			Latn	Moribund	3 Endangered	Still	0	12		taka1268	Yes	
zoq	taba1264	Tabasco Zoque			Latn	Moribund	3 Endangered	Emerging	0	12		texi1238	Yes	
ump	umpi1239	Umpila			Latn	Shifting	3 Endangered	Still	0	12		nort2759	Yes	
wih	wikm1246	Wik-Me'anha			Latn	Moribund	3 Endangered	Still	0	12		epme1234	Yes	
atz	arta1239	Arta			Latn	Nearly Extinct	3 Endangered	Emerging	0	11		nort3238	Yes	
dtd	diti1235	Ditidaht			Latn	Nearly Extinct	3 Endangered	Emerging	0	11		maka1326	Yes	
lio	liki1241	Liki	bahasa Liki		Latn	Moribund	3 Endangered	Still	0	11		sobe1240	Yes	
waq	wage1238	Wageman			Latn	Nearly Extinct	3 Endangered	Emerging	0	11			Yes	
akq	akkk1240	Ak			Latn	Shifting	3 Endangered	Still	0	10		yell1247	Yes	
ayk	akuk1235	Akuku			Latn	Vigorous	2 Stable	Still	0	10		okpe1251	Yes	
ako	akur1238	Akurio			Latn	Nearly Extinct	3 Endangered	Emerging	0	10		tiri1260	Yes	
lsc	alba1273	Albarradas Sign Language			Zxxx		2 Stable	Still	0	10		deaf1237	Yes	
aqk	anin1242	Aninka			Latn		2 Stable	Still	0	10		ninz1247	Yes	
aua	asum1237	Asumboa			Latn	Nearly Extinct	3 Endangered	Still	0	10		utup1238	Yes	
asq	aust1252	Austrian Sign Language	Österreichische Gebärdensprache		Zxxx	Vigorous	2 Stable	Still	0	10		nucl1839	Yes	
khd	badi1247	Bädi Kanum			Latn	Nearly Extinct	3 Endangered	Still	0	10		ngka1236	Yes	
bsr	bass1259	Bassa-Kontagora			Latn	Nearly Extinct	3 Endangered	Still	0	10		gumn1234	Yes	
bpe	wara1302	Bauni			Latn		2 Stable	Still	0	10		lago1243	Yes	
ebc	begi1237	Beginci	bahasa Beginci		Latn		2 Stable	Still	0	10		mala1480	Yes	
glb	beln1234	Belning			Latn		2 Stable	Still	0	10		west2717	Yes	
ibh	biha1246	Bih			Latn		3 Endangered	Still	0	10		rade1241	Yes	
zbu	zara1252	Bu (Bauchi State)			Latn		2 Stable	Still	0	10		geji1246	Yes	
uly	buli1260	Buli			Latn		2 Stable	Still	0	10		polc1245	Yes	
cpg	capp1239	Cappadocian Greek			Grek	Dormant	3 Endangered	Emerging	0	10		pont1257	Yes, with caveat	Some sources report this as extinct, some as active
cbd	cari1279	Carijona	tsahá		Latn	Nearly Extinct	3 Endangered	Emerging	0	10		tara1324	Yes	
cob	chic1271	Chicomuceltec			Latn	Dormant	3 Endangered	Emerging	0	10		huas1241	Yes, with caveat	Some sources report this as extinct, some as active
cnq	cung1238	Chung			Latn		2 Stable	Ascending	0	10		cung1239	Yes	
csq	croa1242	Croatia Sign Language	hrvatski znakovni jezik		Zxxx	Vigorous	2 Stable	Emerging	0	10		yugo1239	Yes	
dda	dadi1251	Dadi Dadi			Latn	Nearly Extinct	3 Endangered	Still	0	10		lowe1403	Yes, with caveat	Some sources report this as extinct, some as active
dzd	daza1244	Daza			Latn	Vigorous	3 Endangered	Still	0	10		giiw1237	Yes, with caveat	Reinstated now, but at one point was retired
dif	dier1241	Dieri			Latn	Dormant	3 Endangered	Emerging	0	10		dier1240	Yes, with caveat	Some sources report this as extinct, some as active
nzr	lund1276	Dir-Nyamzak-Mbarimi			Latn		3 Endangered	Still	0	10		zuli1234	Yes	
ovd	elfd1234	Elfdalian			Latn		3 Endangered	Emerging	0	10		ovan1234	Yes	
faj	fait1240	Faita			Latn	Shifting	3 Endangered	Still	0	10		east2767	Yes	
fng	fana1235	Fanagalo			Latn	Wider Communication	3 Endangered	Emerging	0	10		zulu1250	Yes	
fnb	orko1234	Fanbak			Latn		3 Endangered	Still	0	10		port1292	Yes	
gyz	nucl1692	Geji			Latn		2 Stable	Emerging	0	10		geji1246	Yes	
gef	gera1241	Gerai	bahasa Gerai		Latn		2 Stable	Still	0	10		mala1480	Yes	
gov	gooa1234	Goo			Latn		2 Stable	Still	0	10		tour1245	Yes	
lgs	guin1260	Guinea-Bissau Sign Language			Zxxx		2 Stable	Still	0	10		deaf1237	Yes	
llf	herm1237	Hermit			Latn	Extinct	4 Extinct	Still	0	10		west2848	No	Extinct language
hti	hoti1237	Hoti	bahasa Hoti		Latn	Extinct	4 Extinct	Still	0	10		seti1249	No	Extinct language
huk	hulu1246	Hulung			Latn	Extinct	4 Extinct	Still	0	10		nort3221	No	Extinct language
icl	icel1236	Icelandic Sign Language	íslenskt táknmál		Zxxx	Developing	2 Stable	Still	0	10		dani1289	Yes	
ikh	ikhi1234	Ikhin-Arokho			Latn		2 Stable	Still	0	10		emai1243	Yes	
jus	juml1239	Jumla Sign Language			Zxxx	Threatened	3 Endangered	Still	0	10		deaf1237	Yes	
kzx	kama1362	Kamarian	bahasa Kamarian		Latn	Dormant	3 Endangered	Still	0	10		ulia1238	Yes, with caveat	Some sources report this as extinct, some as active
kuq	kari1317	Karipuna			Latn	Moribund	3 Endangered	Still	0	10		cent2421	Yes	
xat	kata1270	Katawixi			Latn	Nearly Extinct	3 Endangered	Still	0	10		katu1274	Yes	
keh	keak1239	Keak			Latn	Vigorous	3 Endangered	Still	0	10		sawo1234	Yes	
ykh	kham1281	Khamnigan Mongol			Cyrl		2 Stable	Still	0	10		oira1260	Yes	
klb	kili1268	Kiliwa			Latn	Nearly Extinct	3 Endangered	Emerging	0	10		yuma1250	Yes	
izm	kiza1239	Kizamani			Latn		2 Stable	Still	0	10		kaur1268	Yes	
vkn	koro1323	Koro Nulu			Latn		2 Stable	Still	0	10		uncl1532	Yes	
kqq	kren1239	Krenak			Latn	Moribund	3 Endangered	Still	0	10		maxa1249	Yes	
ugh	kuba1248	Kubachi			Cyrl		2 Stable	Emerging	0	10		darg1242	Yes	
sqx	kafr1234	Kufr Qassem Sign Language			Zxxx		2 Stable	Still	0	10		deaf1237	Yes	
uun		Kulon-Pazeh				Extinct			0	10			Probably not	Split into separate language codes
kvs	kung1262	Kunggara				Nearly Extinct			0	10	gdj	book1242	No	ISO considers this a duplicate of gdj
kgl	kung1258	Kunggari			Latn	Extinct	3 Endangered	Still	0	10		sout2765	Yes, with caveat	Some sources report this as extinct, some as active
vku	kurr1243	Kurrama			Latn	Nearly Extinct	3 Endangered	Still	0	10		yind1249	Yes	
xdo	kwan1289	Kwandu			Latn		2 Stable	Still	0	10		cimb1239	Yes	
llj	ladj1234	Ladji Ladji			Latn	Extinct	3 Endangered	Still	0	10		west2443	Yes, with caveat	Some sources report this as extinct, some as active
sfb	lang1248	Langue des signes de Belgique Francophone	langue des signes de Belgique francophone			Developing	2 Stable	Emerging	0	10		belg1242	Yes	
ltn	latu1238	Latundê			Latn	Moribund	3 Endangered	Still	0	10		roos1235	Yes	
lsl	latv1245	Latvian Sign Language			Zxxx	Vigorous	2 Stable	Emerging	0	10		deaf1237	Yes	
leo	leti1245	Leti (Cameroon)			Latn	Dormant	3 Endangered	Emerging	0	10		sana1278	Yes	
lls	lith1236	Lithuanian Sign Language			Zxxx	Vigorous	2 Stable	Emerging	0	10		nucl1824	Yes	
mdl	malt1238	Maltese Sign Language			Zxxx	Vigorous	2 Stable	Emerging	0	10		deaf1237	Yes	
mhq	mand1446	Mandan	Rų́ʼeta:re		Latn	Nearly Extinct	3 Endangered	Emerging	0	10		core1249	Yes	
mpw	mapi1252	Mapidian			Latn	Nearly Extinct	3 Endangered	Still	0	10		mapi1253	Yes	
zmd	mari1422	Maridan			Latn	Nearly Extinct	3 Endangered	Still	0	10		mari1420	Yes	
zmm	mari1417	Marimanindji			Latn	Nearly Extinct	3 Endangered	Still	0	10		brin1245	Yes	
ism	masi1265	Masimasi	bahasa Masimasi		Latn	Nearly Extinct	3 Endangered	Still	0	10		sobe1239	Yes	
mdg	mass1262	Massalat			Latn	Nearly Extinct	3 Endangered	Emerging	0	10		masa1301	Yes	
lsy	maur1240	Mauritian Sign Language			Zxxx	Vigorous	2 Stable	Emerging	0	10		deaf1237	Yes	
bpc	mbuk1244	Mbuk			Latn		2 Stable	Still	0	10		cung1239	Yes	
xjb	twee1234	Minjungbal			Latn	Extinct	3 Endangered	Emerging	0	10		coas1320	Yes, with caveat	Some sources report this as extinct, some as active
ehs	miya1268	Miyakubo Sign Language	宮窪手話		Zxxx		2 Stable	Still	0	10		deaf1237	Yes	
vsi	mold1243	Moldova Sign Language			Zxxx	Vigorous	2 Stable	Still	0	10		cent2419	Yes	
msz	moma1243	Momare			Latn	Dormant	3 Endangered	Still	0	10		moma1244	Yes	
cty	maun1243	Moundadan Chetty			Taml		2 Stable	Still	0	10		kann1259	Yes	
nbs	nami1249	Namibian Sign Language			Zxxx	Vigorous	2 Stable	Emerging	0	10		sout3228	Yes	
nxu	nara1265	Narau	bahasa Narau						0	10	bpp	book1242	No	ISO merged this into bpp
nxo	ndam1254	Ndambomo			Latn		3 Endangered	Still	0	10		sake1249	Yes	
nww	ndwe1234	Ndwewe			Latn		3 Endangered	Still	0	10		rufi1236	Yes	
jas	newc1244	New Caledonian Javanese			Latn	Shifting	3 Endangered	Still	0	10		glob1245	Yes	
nzs	newz1236	New Zealand Sign Language	New Zealand Sign Language		Zxxx	Developing	3 Endangered	Emerging	0	10		banz1243	Yes	
nju	ngad1258	Ngadjunmaya			Latn	Nearly Extinct	3 Endangered	Still	0	10		mirn1243	Yes	
nql	ngen1257	Ngendelengo			Latn		2 Stable	Still	0	10		cimb1239	Yes	
nhf	nhuw1239	Nhuwala			Latn	Nearly Extinct	3 Endangered	Still	0	10		ngay1241	Yes	
nul	nusa1245	Nusa Laut	bahasa Nusa Laut			Dormant	3 Endangered	Still	0	10		elpa1239	Yes, with caveat	Some sources report this as extinct, some as active
nyp	nyan1313	Nyang'i			Latn	Nearly Extinct	3 Endangered	Still	0	10		ngan1305	Yes, with caveat	Some sources report this as extinct, some as active
xny	nija1241	Nyiyaparli			Latn	Nearly Extinct	3 Endangered	Still	0	10		cent2248	Yes	
olm	olom1241	Oloma			Latn	Vigorous	3 Endangered	Still	0	10		sout3171	Yes	
pkn	paka1251	Pakanha			Latn	Nearly Extinct	3 Endangered	Still	0	10		mung1276	Yes	
pnl	pale1262	Paleni			Latn		2 Stable	Still	0	10		samu1243	Yes	
lsp	pana1308	Panamanian Sign Language			Zxxx	Vigorous	2 Stable	Emerging	0	10		cost1251	Yes	
pey	petj1238	Petjo			Latn	Nearly Extinct	3 Endangered	Emerging	0	10		glob1241	Yes	
kjt	phra1235	Phrae Pwo Karen			Thai	Vigorous	2 Stable	Emerging	0	10		nort2704	Yes	
pii	pini1248	Pini				Nearly Extinct			0	10		pini1245	No	Declared non-existent by ISO
alc	qawa1238	Qawasqar	alacalufe		Latn	Nearly Extinct	3 Endangered	Emerging	0	10		nort1506	Yes	
btn	rata1245	Ratagnon			Latn	Nearly Extinct	3 Endangered	Still	0	10		data1234	Yes	
rsw	rish1234	Rishiwa			Latn		2 Stable	Still	0	10		vori1234	Yes	
rwl	ruwi1234	Ruwila			Latn		2 Stable	Still	0	10		kono1265	Yes	
sxr	saar1237	Saaroa			Latn	Nearly Extinct	3 Endangered	Emerging	0	10		kana1292	Yes	
szy	saki1247	Sakizaya	Sakizaya	Spoken & Written	Latn		3 Endangered	Emerging	0	10		cent2103	Yes	
syx	osam1235	Samay			Latn		3 Endangered	Still	0	10		ndas1239	Yes	
sej	sene1263	Sene			Latn	Extinct	4 Extinct	Still	0	10		huon1247	Yes, with caveat	Some sources report this as extinct, some as active
lsw	seyc1234	Seychelles Sign Language			Zxxx		2 Stable	Still	0	10		deaf1237	Yes	
sis	sius1254	Siuslaw			Latn	Dormant	3 Endangered	Emerging	0	10			Yes, with caveat	Some sources report this as extinct, some as active
sno	snoh1241	Snohomish			Latn	Nearly Extinct	3 Endangered	Still	0	10		lush1252	Yes	
szs	solo1262	Solomon Islands Sign Language			Zxxx		2 Stable	Still	0	10		aust1310	Yes	
hax	sout2956	Southern Haida			Latn	Moribund	3 Endangered	Ascending	0	10	hai	haid1248	Possibly	But probably want to use macrolanguage
stl	stel1238	Stellingwerfs			Latn	Developing	2 Stable	Emerging	0	10		west2356	Yes	
ssu	susu1251	Susuami			Latn	Nearly Extinct	3 Endangered	Still	0	10		kama1359	Yes	
lsn	tibe1277	Tibetan Sign Language			Zxxx		3 Endangered	Still	0	10		deaf1237	Yes	
tyy	yaaa1242	Tiyaa			Latn		2 Stable	Emerging	0	10		vagh1247	Yes	
tjj	yang1305	Tjungundji			Latn		3 Endangered	Still	0	10		angu1244	Yes	
tjp	pini1245	Tjupany			Latn		3 Endangered	Still	0	10		unun9966	Yes	
rmg	trav1236	Traveller Norwegian			Latn	Vigorous	3 Endangered	Still	0	10	rom	scan1239	Possibly	But probably want to use macrolanguage
try	turu1249	Turung			Latn	Extinct	3 Endangered	Still	0	10		uncl1540	Yes, with caveat	Some sources report this as extinct, some as active
woa	tyar1236	Tyaraity			Latn	Nearly Extinct	3 Endangered	Still	0	10		nort1547	Yes	
uni	unii1234	Uni			Latn		2 Stable	Still	0	10		lago1243	Yes	
uln	unse1236	Unserdeutsch			Latn	Nearly Extinct	3 Endangered	Emerging	0	10		glob1243	Yes	
urc	urni1239	Urningangg			Latn	Extinct	4 Extinct	Still	0	10		urni1238	No	Extinct language
vsv	vale1251	Valencian Sign Language			Zxxx	Vigorous	3 Endangered	Still	0	10		nucl1840	Yes	
wga	waga1260	Wagaya			Latn	Extinct	4 Extinct	Still	0	10		ngar1291	No	Extinct language
wny	wany1247	Wanyi			Latn	Nearly Extinct	3 Endangered	Still	0	10		garr1260	Yes	
wlh	wela1235	Welaun			Latn		2 Stable	Still	0	10		west2945	Yes	
yhs		Yan-nhaŋu Sign Language			Zxxx		3 Endangered	Still	0	10			Yes	
jng	yang1288	Yangman			Latn	Dormant	3 Endangered	Still	0	10		yang1287	Yes, with caveat	Some sources report this as extinct, some as active
yii	yidi1250	Yidiny			Latn		3 Endangered	Still	0	10		yidi1249	Yes	
yol	east2834	Yola			Latn		3 Endangered	Emerging	0	10		merc1242	Yes, with caveat	Some sources report this as extinct, some as active
yoy	yoyy1238	Yoy			Thai		3 Endangered	Emerging	0	10		sako1234	Yes	
jaj	zaza1245	Zazao			Latn	Nearly Extinct	3 Endangered	Still	0	10		zaza1247	Yes	
ixc	ixca1245	Ixcatec			Latn	Nearly Extinct	3 Endangered	Emerging	0	9		ixca1247	Yes	
nid	ngan1295	Ngandi			Latn	Dormant	3 Endangered	Still	0	9		east2701	Yes, with caveat	Some sources report this as extinct, some as active
swo	shan1283	Shanenawa			Latn	Nearly Extinct	3 Endangered	Still	0	9		yami1255	Yes	
ate	atem1241	Atemble			Latn	Shifting	3 Endangered	Still	0	8		atan1241	Yes	
bxe	bira1253	Birale				Nearly Extinct	3 Endangered	Still	0	8			Yes	
bju	busu1244	Busuu			Latn	Nearly Extinct	4 Extinct	Emerging	0	8		sout3152	Yes, with caveat	Some sources report this as extinct, some as active
elo	elmo1238	El Molo			Latn	Nearly Extinct	3 Endangered	Still	0	8		west2723	Yes	
kim	kara1462	Karagas	Тоъфа		Cyrl	Nearly Extinct	3 Endangered	Emerging	0	8		saya1244	Yes	
gyd	kaya1319	Kayardild			Latn	Nearly Extinct	3 Endangered	Still	0	8		kaya1318	Yes	
qwm	cuma1241	Kuman (Russia)			Latn		4 Extinct	Still	0	8		crim1257	No	Extinct language
zmt	mari1419	Maringarr			Latn	Nearly Extinct	3 Endangered	Still	0	8		mari1418	Yes	
mpb	mull1237	Mullukmulluk			Latn	Nearly Extinct	3 Endangered	Still	0	8		nort1547	Yes	
wyr	wayo1238	Wayoró			Latn	Moribund	3 Endangered	Still	0	8		wayo1240	Yes	
yaw	yawa1261	Yawalapití			Latn	Nearly Extinct	3 Endangered	Still	0	8		xing1249	Yes	
xby	baty1234	Batyala			Latn	Nearly Extinct	3 Endangered	Still	0	7		kabi1260	Yes	
chh	chin1286	Chinook			Latn	Nearly Extinct	3 Endangered	Emerging	0	7		lowe1438	Yes, with caveat	Some sources report this as extinct, some as active
tjw	djab1234	Djabwurrung			Latn	Nearly Extinct	3 Endangered	Still	0	7		djad1246	Yes	
klp	kama1360	Kamasa			Latn	Nearly Extinct	3 Endangered	Still	0	7		kama1359	Yes	
xmp	kuku1282	Kuku-Mu'inh			Latn	Extinct	4 Extinct	Still	0	7		pama1253	No	Extinct language
kjn	kunj1245	Kunjen			Latn	Moribund	3 Endangered	Emerging	0	7		kunj1248	Yes	
gac	mixe1288	Mixed Great Andamanese			Latn	Nearly Extinct	3 Endangered	Emerging	0	7		akaj1239	Yes	
sae	saba1268	Sabanê			Latn	Nearly Extinct	3 Endangered	Emerging	0	7		namb1299	Yes	
umg	umbu1256	Umbuygamu			Latn	Extinct	4 Extinct	Still	0	7		coas1321	No	Extinct language
unu	unub1234	Unubahe			Latn	Nearly Extinct	3 Endangered	Still	0	7		suau1243	Yes	
jay	yann1237	Yan-nhangu			Latn	Nearly Extinct	4 Extinct	Emerging	0	7		yuul1239	Yes, with caveat	Some sources report this as extinct, some as active
yug	yugh1239	Yug			Cyrl		4 Extinct	Still	0	7		nort2746	No	Extinct language
aan	anam1249	Anambé			Latn	Nearly Extinct	3 Endangered	Still	0	6		araw1290	Yes	
ant	anta1253	Antakarinya			Latn	Nearly Extinct	3 Endangered	Still	0	6		unun9966	Yes	
ard	arab1267	Arabana			Latn	Nearly Extinct	3 Endangered	Still	0	6		arab1266	Yes, with caveat	Some sources report this as extinct, some as active
ave	aves1237	Avestan	avesta		Avst	Extinct	4 Extinct	Ascending	0	6		iran1269	Possibly	Actively used by few people, may be hard to disambiguate between liturgial use and active use
ayd	ayab1239	Ayabadhu			Latn	Extinct	4 Extinct	Still	0	6		umbi1242	No	Extinct language
btj	baca1243	Bacanese Malay	bahasa Batjan		Latn	Nearly Extinct	3 Endangered	Still	0	6	msa	brun1246	Possibly	But probably want to use macrolanguage
bxj	bayu1240	Bayungu			Latn	Nearly Extinct	3 Endangered	Still	0	6		kany1246	Yes	
chl	cahu1264	Cahuilla			Latn	Moribund	3 Endangered	Still	0	6		cahu1263	Yes	
dhl	dhal1245	Dhalandji			Latn	Moribund	3 Endangered	Still	0	6		thal1243	Yes	
dhr	dhar1247	Dhargari			Latn	Moribund	3 Endangered	Still	0	6		wari1270	Yes	
dsn	dusn1237	Dusner	bahasa Dusner		Latn	Dormant	3 Endangered	Still	0	6		biak1249	Yes, with caveat	Some sources report this as extinct, some as active
gbu	gaga1251	Gagadu			Latn	Nearly Extinct	4 Extinct	Still	0	6			Yes, with caveat	Some sources report this as extinct, some as active
gma	gamb1251	Gambera			Latn	Extinct	4 Extinct	Still	0	6		forr1234	No	Extinct language
hoi	holi1241	Holikachuk			Latn	Nearly Extinct	3 Endangered	Emerging	0	6		koyu1238	Yes	
xnb	kana1286	Kanakanabu			Latn	Nearly Extinct	3 Endangered	Emerging	0	6		kana1292	Yes	
ugb	kuku1281	Kuku-Ugbanh			Latn	Extinct	4 Extinct	Still	0	6		pama1253	No	Extinct language
lrg	lara1258	Laragia			Latn	Nearly Extinct	3 Endangered	Still	0	6			Yes, with caveat	Some sources report this as extinct, some as active
ncz	natc1249	Natchez			Latn	Nearly Extinct	3 Endangered	Emerging	0	6			Yes, with caveat	Some sources report this as extinct, some as active
nad	nija1242	Nijadali				Moribund			0	6	xny	book1242	No	ISO considers this a duplicate of xny
njr	njer1242	Njerep			Latn	Nearly Extinct	3 Endangered	Emerging	0	6		njer1241	Yes	
ota	otto1234	Ottoman Turkish (1500-1928)	لسان عثمانى		Arab				0	6		nucl1301	Probably not	Historical langauge
qun	quin1251	Quinault			Latn	Dormant	3 Endangered	Emerging	0	6		coas1311	Yes, with caveat	Some sources report this as extinct, some as active
